month,year,revenue,expenses,payroll,rent,debt,cash_reserves,taxes,cogs
1,2024,45000,42000,18000,3500,150000,28000,2100,12000
2,2024,47000,43500,18000,3500,148000,26500,2350,12500
3,2024,46000,44000,18500,3500,146000,24500,2300,13000
4,2024,49000,45000,18500,3500,144000,28500,2450,13500
5,2024,51000,46500,19000,3500,142000,33000,2550,14000
6,2024,48000,47000,19000,3500,140000,34000,2400,14500
7,2024,52000,47500,19500,3500,138000,38500,2600,15000
8,2024,53000,48000,19500,3500,136000,43500,2650,15500
9,2024,50000,49000,20000,3500,134000,44500,2500,16000
10,2024,54000,49500,20000,3500,132000,49000,2700,16500
11,2024,56000,50000,20500,3500,130000,55000,2800,17000
12,2024,58000,51000,20500,3500,128000,62000,2900,17500
